typing_wpm,typing_accuracy,typing_errors,typing_backspaces,typing_error_rate,typing_correction_rate,attention_hits,attention_false_clicks,attention_misses,attention_reaction_time,attention_accuracy,attention_score,attention_impulsivity_rate,attention_miss_rate,reading_speed,reading_comprehension,reading_correct_answers,reading_efficiency,risk_label,dominant_issue
32.72,73.83,5,4,0.1562,0.125,16,1,2,537.6,63.49,69.89,0.0556,0.1053,139.45,73.73,2,102.82,medium,typing_issue
19.86,54.38,15,18,0.7895,0.9474,12,8,6,1096.17,56.41,18.26,0.381,0.3158,69.93,46.91,1,32.81,high,attention_issue
9.61,58.33,12,16,1.2,1.6,8,5,9,920.92,46.62,36.62,0.3571,0.5,95.93,32.15,1,30.84,high,attention_issue
50.65,93.2,0,4,0.0,0.08,19,0,3,323.62,99.44,75.03,0.0,0.1304,195.11,89.95,4,175.51,low,balanced
22.21,70.57,3,6,0.1364,0.2727,15,1,3,662.35,65.93,74.55,0.0588,0.1579,137.19,69.01,2,94.68,medium,typing_issue
20.37,56.5,8,14,0.4,0.7,6,4,11,1145.97,60.55,26.65,0.3636,0.6111,69.63,34.32,3,23.89,high,attention_issue
37.74,87.45,6,4,0.1622,0.1081,17,3,5,650.86,76.05,62.84,0.1429,0.2174,117.03,69.63,3,81.49,medium,balanced
8.93,49.3,10,17,1.0,1.7,14,7,8,1133.55,63.4,27.98,0.3182,0.3478,92.44,55.1,1,50.94,high,attention_issue
53.11,89.71,1,1,0.0189,0.0189,22,2,2,299.13,90.6,79.71,0.08,0.08,142.53,99.76,5,142.18,low,balanced
64.69,89.08,1,2,0.0156,0.0312,21,2,1,472.9,89.5,86.82,0.0833,0.0435,180.01,93.8,5,168.85,low,balanced
19.66,44.26,8,6,0.4211,0.3158,14,4,11,1108.12,30.57,34.98,0.2105,0.4231,79.83,55.72,2,44.48,high,attention_issue
17.28,40.99,10,15,0.5882,0.8824,12,4,6,1146.48,41.43,47.18,0.2353,0.3158,85.49,57.62,2,49.27,high,attention_issue
28.57,71.25,3,9,0.1071,0.3214,20,4,3,685.22,69.74,47.22,0.16,0.125,142.02,61.46,4,87.28,medium,attention_issue
38.94,97.27,4,2,0.1053,0.0526,21,2,0,417.22,90.85,80.06,0.0833,0.0,159.61,86.94,4,138.77,low,balanced
9.96,49.58,8,12,0.8,1.2,10,9,11,1185.12,44.63,48.88,0.45,0.5,60.66,51.32,3,31.13,high,attention_issue
21.78,66.6,15,11,0.7143,0.5238,8,4,9,1048.54,42.58,17.48,0.3077,0.5,106.04,51.67,3,54.79,high,attention_issue
25.26,77.73,4,4,0.16,0.16,16,5,2,672.59,80.45,64.06,0.2273,0.1053,110.53,75.11,2,83.02,medium,balanced
53.26,94.69,4,6,0.0755,0.1132,21,1,0,254.57,99.56,75.9,0.0435,0.0,147.77,85.08,4,125.73,low,balanced
47.14,93.73,3,0,0.0638,0.0,21,1,3,311.89,92.03,83.1,0.0435,0.12,178.76,98.26,4,175.64,low,balanced
12.79,60.21,13,16,1.0833,1.3333,5,5,11,1001.09,46.12,20.12,0.4545,0.6471,90.44,57.33,1,51.86,high,attention_issue
20.14,84.22,7,5,0.35,0.25,15,4,4,434.16,72.2,54.59,0.2,0.2,103.82,77.13,3,80.08,medium,balanced
54.53,97.21,4,1,0.0741,0.0185,18,2,1,298.27,97.77,88.82,0.0952,0.05,193.4,94.8,5,183.35,low,balanced
36.42,82.57,7,9,0.1944,0.25,12,5,4,489.39,64.86,64.6,0.2778,0.2353,112.83,67.65,2,76.33,medium,balanced
22.74,82.84,6,4,0.2727,0.1818,16,3,2,426.82,63.93,64.56,0.15,0.1053,109.47,61.9,4,67.76,medium,balanced
30.38,78.88,4,3,0.1333,0.1,12,5,5,555.67,65.76,66.04,0.2778,0.2778,124.88,72.48,2,90.51,medium,balanced
20.41,86.37,4,9,0.2,0.45,19,1,4,428.18,72.24,53.47,0.0476,0.1667,128.75,61.0,3,78.54,medium,balanced
57.54,98.52,2,2,0.0351,0.0351,20,1,2,309.87,96.57,94.3,0.0455,0.087,173.41,94.36,5,163.64,low,balanced
67.6,93.43,4,5,0.0597,0.0746,24,0,3,355.2,88.24,80.63,0.0,0.1071,140.21,97.91,5,137.27,low,balanced
20.27,78.31,4,10,0.2,0.5,12,4,6,452.91,65.36,73.61,0.2353,0.3158,113.32,56.06,2,63.52,medium,reading_issue
55.81,94.32,4,3,0.0727,0.0545,18,2,2,397.19,99.36,85.78,0.0952,0.0952,164.49,90.17,5,148.31,low,balanced
35.93,70.93,8,7,0.2286,0.2,14,1,2,469.0,81.67,57.09,0.0625,0.1176,112.77,69.73,3,78.63,medium,typing_issue
20.77,76.95,5,10,0.25,0.5,13,5,2,504.5,75.24,65.37,0.2632,0.125,101.05,70.45,3,71.19,medium,balanced
14.05,61.63,10,12,0.7143,0.8571,5,5,12,1134.81,58.04,33.0,0.4545,0.6667,99.75,52.64,3,52.51,high,attention_issue
28.59,70.88,6,5,0.2143,0.1786,17,3,7,695.63,79.58,66.22,0.1429,0.28,141.37,69.85,2,98.75,medium,typing_issue
23.08,43.8,15,13,0.6522,0.5652,12,4,10,1141.01,49.55,27.76,0.2353,0.4348,62.98,30.0,1,18.89,high,attention_issue
57.76,92.67,2,0,0.0351,0.0,23,2,0,256.06,86.46,94.31,0.0769,0.0,156.78,98.17,4,153.9,low,balanced
12.82,45.44,9,9,0.75,0.75,10,5,8,1075.65,55.73,24.71,0.3125,0.4211,74.27,31.9,3,23.69,high,attention_issue
29.67,87.56,4,3,0.1379,0.1034,17,3,6,411.33,84.57,63.81,0.1429,0.25,107.75,64.95,2,69.98,medium,balanced
50.33,95.2,4,4,0.08,0.08,25,2,2,374.76,94.47,81.03,0.0714,0.0714,217.48,93.2,4,202.69,low,balanced
51.53,90.19,1,1,0.0196,0.0196,18,0,1,258.6,89.52,75.05,0.0,0.05,201.0,83.6,4,168.03,low,balanced
10.11,54.15,7,12,0.7,1.2,6,10,12,723.02,40.91,36.12,0.5882,0.6316,98.22,51.16,3,50.25,high,attention_issue
37.92,74.35,6,5,0.1622,0.1351,13,4,7,716.87,70.34,74.49,0.2222,0.3333,119.72,72.12,4,86.34,medium,typing_issue
35.5,81.09,6,3,0.1714,0.0857,20,1,6,669.29,60.67,46.65,0.0455,0.2222,125.85,58.74,4,73.93,medium,attention_issue
21.54,49.23,13,12,0.619,0.5714,13,7,11,943.56,51.07,23.23,0.3333,0.44,70.92,23.25,2,16.49,high,attention_issue
12.62,64.01,7,6,0.5833,0.5,14,6,7,958.58,39.13,46.11,0.2857,0.3182,107.71,57.08,3,61.48,high,attention_issue
10.72,59.68,10,7,1.0,0.7,9,10,7,851.05,55.58,19.93,0.5,0.4118,103.83,56.17,0,58.32,high,attention_issue
52.08,94.02,0,0,0.0,0.0,19,1,2,419.25,90.86,90.23,0.0476,0.0909,197.79,95.43,4,188.76,low,balanced
13.8,53.6,12,6,0.9231,0.4615,10,7,8,984.22,58.01,18.72,0.3889,0.4211,88.25,20.06,3,17.7,high,attention_issue
40.34,94.38,3,3,0.075,0.075,22,2,3,348.19,96.29,88.45,0.08,0.1154,146.34,89.4,5,130.83,low,balanced
21.42,83.01,7,8,0.3333,0.381,14,5,7,668.17,78.14,73.36,0.25,0.3182,114.49,65.87,3,75.41,medium,balanced
22.94,76.51,3,6,0.1364,0.2727,12,2,3,633.38,74.56,62.85,0.1333,0.1875,121.29,71.17,2,86.32,medium,balanced
69.64,97.75,4,5,0.058,0.0725,22,2,0,266.34,98.95,81.0,0.08,0.0,174.31,85.26,5,148.61,low,balanced
17.04,53.09,9,16,0.5294,0.9412,7,8,11,1072.15,44.31,19.1,0.5,0.5789,77.96,20.47,1,15.96,high,attention_issue
46.88,93.15,2,6,0.0435,0.1304,24,2,1,281.82,92.4,90.87,0.0741,0.0385,162.3,86.3,4,140.06,low,balanced
35.24,96.23,1,5,0.0286,0.1429,19,1,1,352.6,88.16,81.31,0.0476,0.0476,206.56,85.65,5,176.92,low,balanced
47.12,93.6,0,3,0.0,0.0638,21,0,0,398.33,94.1,87.12,0.0,0.0,199.98,82.73,4,165.44,low,balanced
66.94,91.78,2,4,0.0303,0.0606,18,1,2,472.01,98.61,87.7,0.05,0.0952,175.88,99.31,5,174.66,low,balanced
22.82,53.0,10,7,0.4545,0.3182,7,10,8,737.1,32.76,36.24,0.5556,0.5,109.65,52.33,1,57.38,high,attention_issue
19.94,66.32,10,16,0.5263,0.8421,8,9,8,953.82,46.34,18.78,0.5,0.4706,96.9,38.18,1,37.0,high,attention_issue
34.14,86.32,3,10,0.0882,0.2941,19,4,6,455.03,79.21,65.74,0.1667,0.2308,116.63,62.62,2,73.04,medium,balanced
54.81,89.44,4,5,0.0741,0.0926,22,2,1,443.61,94.06,83.95,0.08,0.0417,214.72,93.63,5,201.04,low,balanced
38.23,73.54,4,5,0.1053,0.1316,18,4,7,426.18,82.69,65.25,0.1739,0.2692,104.77,75.14,4,78.72,medium,typing_issue
20.07,60.83,13,15,0.65,0.75,7,10,8,996.48,57.6,43.7,0.5556,0.5,98.32,47.78,2,46.98,high,attention_issue
15.91,65.03,14,14,0.9333,0.9333,8,5,10,1035.79,59.22,41.62,0.3571,0.5263,87.58,20.63,2,18.07,high,attention_issue
24.46,51.29,7,15,0.2917,0.625,10,8,6,720.66,30.33,46.58,0.4211,0.3529,71.37,36.22,3,25.85,high,attention_issue
36.71,73.39,7,4,0.1944,0.1111,20,3,5,606.48,62.81,70.31,0.125,0.1923,107.89,70.72,4,76.3,medium,typing_issue
15.43,41.8,15,12,1.0,0.8,12,10,10,884.28,33.08,44.6,0.4348,0.4348,78.19,21.5,0,16.81,high,attention_issue
18.45,50.28,10,17,0.5556,0.9444,11,10,12,1180.98,39.15,24.45,0.4545,0.5,92.55,23.37,1,21.63,high,attention_issue
10.9,41.38,9,18,0.9,1.8,11,9,9,802.55,47.16,40.05,0.4286,0.4286,100.34,45.73,1,45.89,high,attention_issue
37.73,71.33,4,5,0.1081,0.1351,20,5,6,453.53,75.87,57.89,0.1923,0.2222,141.32,56.88,3,80.38,medium,reading_issue
11.31,55.83,7,14,0.6364,1.2727,10,9,10,753.08,38.21,34.51,0.45,0.4762,88.03,30.06,1,26.46,high,attention_issue
27.82,72.2,5,7,0.1852,0.2593,17,3,2,730.83,74.88,52.85,0.1429,0.1,142.8,74.54,4,106.45,medium,typing_issue
45.91,91.12,0,0,0.0,0.0,19,1,1,367.9,91.62,91.68,0.0476,0.0476,175.29,84.04,5,147.32,low,balanced
17.92,68.61,15,12,0.8824,0.7059,5,4,12,711.37,58.98,20.22,0.4,0.6667,109.06,27.98,2,30.52,high,attention_issue
45.45,95.43,1,4,0.0222,0.0889,25,1,2,304.0,99.16,78.81,0.037,0.0714,160.07,98.27,5,157.3,low,balanced
30.21,72.14,3,10,0.1,0.3333,20,5,5,505.86,66.43,46.62,0.1923,0.1923,136.63,56.05,3,76.58,medium,attention_issue
18.22,42.59,10,15,0.5556,0.8333,12,4,9,890.58,62.05,26.95,0.2353,0.4091,82.42,54.01,2,44.52,high,attention_issue
33.4,71.34,5,3,0.1515,0.0909,14,4,5,555.04,80.18,68.5,0.2105,0.25,120.05,56.03,3,67.26,medium,reading_issue
39.69,92.73,2,2,0.0513,0.0513,23,0,0,303.02,97.29,75.32,0.0,0.0,150.9,93.29,4,140.79,low,balanced
14.75,45.65,8,9,0.5714,0.6429,7,7,6,1002.45,63.77,20.58,0.4667,0.4286,67.27,28.03,0,18.86,high,attention_issue
24.08,56.82,8,12,0.3333,0.5,6,6,11,1018.36,33.5,22.84,0.4615,0.6111,63.46,32.73,0,20.77,high,attention_issue
40.62,91.0,0,4,0.0,0.1,22,1,3,430.91,92.78,99.64,0.0417,0.1154,143.19,98.88,5,141.59,low,balanced
41.53,90.16,3,6,0.0732,0.1463,25,1,3,269.13,91.76,88.82,0.037,0.1034,144.72,85.06,4,123.11,low,balanced
8.91,42.4,7,13,0.7,1.3,14,7,6,851.44,59.32,39.19,0.3182,0.2857,88.59,53.05,0,47.0,high,attention_issue
28.44,74.67,4,9,0.1429,0.3214,19,2,7,569.03,63.2,45.21,0.0909,0.2593,142.72,70.59,4,100.74,medium,attention_issue
39.95,90.79,3,6,0.0769,0.1538,25,1,0,296.34,92.49,99.93,0.037,0.0,176.56,96.11,4,169.68,low,balanced
31.31,83.44,5,6,0.1613,0.1935,15,4,3,547.98,81.66,64.8,0.2,0.1579,124.58,75.92,4,94.58,medium,balanced
9.72,69.16,14,18,1.4,1.8,12,6,9,1001.77,48.62,29.61,0.3158,0.4091,81.54,50.85,3,41.46,high,attention_issue
39.76,87.09,8,9,0.2051,0.2308,12,4,5,629.89,77.0,64.55,0.2353,0.2778,108.53,56.91,3,61.76,medium,reading_issue
17.67,46.34,10,15,0.5882,0.8824,8,10,6,1191.34,53.13,45.42,0.5263,0.4,70.94,54.75,0,38.84,high,attention_issue
24.76,73.26,3,8,0.125,0.3333,18,1,7,686.81,64.83,66.7,0.05,0.2692,135.41,73.78,2,99.91,medium,typing_issue
17.35,41.58,13,12,0.7647,0.7059,13,5,7,747.83,48.86,30.2,0.2632,0.3333,93.07,20.21,3,18.81,high,attention_issue
21.46,70.69,10,7,0.4762,0.3333,11,9,8,953.0,47.5,33.99,0.4286,0.4,82.72,30.71,0,25.4,high,attention_issue
13.97,46.99,12,8,0.9231,0.6154,14,4,7,717.03,46.66,18.79,0.2105,0.3182,64.45,49.13,3,31.67,high,attention_issue
24.85,68.16,15,14,0.625,0.5833,11,5,8,1135.0,38.78,21.5,0.2941,0.4,86.75,49.24,3,42.72,high,attention_issue
50.06,96.03,4,3,0.08,0.06,22,2,2,341.78,85.53,85.29,0.08,0.08,201.68,94.78,5,191.15,low,balanced
17.74,53.92,12,9,0.7059,0.5294,14,4,7,841.51,32.75,46.2,0.2105,0.3182,97.56,50.61,3,49.37,high,attention_issue
62.62,88.28,4,5,0.0645,0.0806,19,0,2,466.83,94.76,97.0,0.0,0.0909,216.84,80.56,5,174.69,low,balanced
13.72,40.23,14,18,1.0769,1.3846,14,10,6,1094.16,57.63,24.93,0.4,0.2857,101.94,40.8,2,41.59,high,attention_issue
47.97,89.63,4,6,0.0851,0.1277,20,0,2,266.52,87.82,82.0,0.0,0.087,148.09,92.04,4,136.3,low,balanced
12.82,43.54,9,12,0.75,1.0,5,4,11,832.08,57.09,19.58,0.4,0.6471,75.62,42.63,1,32.23,high,attention_issue
20.31,71.94,7,6,0.35,0.3,15,1,7,477.87,69.78,55.8,0.0588,0.3043,144.35,60.98,2,88.02,medium,typing_issue
21.02,44.7,8,7,0.381,0.3333,12,8,12,730.18,37.71,49.01,0.381,0.48,108.83,59.67,3,64.93,high,attention_issue
37.7,71.66,6,4,0.1622,0.1081,18,4,4,500.11,75.41,63.58,0.1739,0.1739,120.19,73.58,4,88.44,medium,typing_issue
56.9,95.77,0,0,0.0,0.0,23,2,0,487.45,87.9,92.33,0.0769,0.0,195.14,88.18,4,172.08,low,balanced
23.37,86.36,4,3,0.1739,0.1304,14,5,5,601.07,78.89,71.32,0.25,0.25,117.9,60.14,2,70.91,medium,balanced
56.74,90.64,2,5,0.0357,0.0893,18,2,3,435.48,95.01,89.07,0.0952,0.1364,209.27,98.49,4,206.12,low,balanced
36.22,98.21,0,1,0.0,0.0278,19,1,1,324.35,88.12,78.61,0.0476,0.0476,167.06,94.66,5,158.13,low,balanced
24.83,67.31,15,7,0.625,0.2917,9,5,10,830.53,45.0,40.78,0.3333,0.5,107.13,37.93,0,40.63,high,attention_issue
9.06,64.91,11,6,1.1,0.6,14,7,7,842.62,54.25,38.78,0.3182,0.3182,75.25,32.97,2,24.81,high,attention_issue
9.09,67.34,12,12,1.2,1.2,12,6,12,955.39,30.89,42.17,0.3158,0.48,68.59,53.86,2,36.94,high,attention_issue
23.46,49.9,8,8,0.3478,0.3478,10,9,6,957.05,58.46,34.08,0.45,0.3529,66.87,38.96,2,26.05,high,attention_issue
39.32,82.05,8,4,0.2051,0.1026,12,3,4,541.96,76.65,68.91,0.1875,0.2353,113.03,78.58,3,88.82,medium,balanced
15.23,68.36,13,15,0.8667,1.0,9,8,6,1100.34,36.91,30.49,0.4444,0.375,91.88,59.22,0,54.41,high,attention_issue
28.87,75.07,8,10,0.2857,0.3571,13,4,5,624.84,82.09,74.7,0.2222,0.2632,120.6,55.95,4,67.47,medium,reading_issue
65.98,93.67,1,0,0.0154,0.0,19,0,2,499.34,94.79,89.77,0.0,0.0909,185.04,97.94,4,181.22,low,balanced
26.52,87.16,6,4,0.2308,0.1538,17,2,3,703.52,63.84,55.84,0.1,0.1429,149.48,67.86,4,101.44,medium,balanced
38.17,83.18,5,5,0.1316,0.1316,19,4,6,573.91,75.11,51.11,0.1667,0.2308,102.99,72.6,3,74.77,medium,balanced
42.45,89.57,4,3,0.0952,0.0714,19,1,3,437.35,95.87,84.2,0.0476,0.1304,170.54,97.31,5,165.94,low,balanced
35.71,85.49,4,4,0.1143,0.1143,13,3,2,460.71,71.52,65.13,0.1765,0.125,136.55,76.85,4,104.94,medium,balanced
23.83,78.51,8,9,0.3478,0.3913,13,5,7,489.52,70.22,67.13,0.2632,0.3333,142.22,73.81,3,104.97,medium,balanced
39.32,93.6,4,0,0.1026,0.0,20,1,3,275.56,95.51,75.31,0.0455,0.125,187.49,88.76,5,166.41,low,balanced
17.04,65.9,10,6,0.5882,0.3529,7,8,7,703.28,64.52,22.49,0.5,0.4667,91.45,27.52,3,25.17,high,attention_issue
28.42,71.3,5,3,0.1786,0.1071,18,5,7,404.76,84.39,71.22,0.2083,0.2692,120.2,76.65,3,92.13,medium,typing_issue
24.44,67.31,8,16,0.3333,0.6667,10,6,10,1046.21,41.5,42.07,0.3529,0.4762,104.08,27.38,1,28.5,high,attention_issue
36.47,93.61,0,0,0.0,0.0,20,1,2,334.53,86.57,79.32,0.0455,0.087,176.97,80.03,4,141.63,low,balanced
39.24,96.03,0,5,0.0,0.1282,24,0,0,300.48,87.88,86.73,0.0,0.0,156.29,81.89,5,127.98,low,balanced
34.05,73.37,4,4,0.1176,0.1176,12,1,7,429.1,72.99,73.48,0.0714,0.35,146.73,65.74,2,96.46,medium,typing_issue
59.6,98.84,0,3,0.0,0.0508,21,1,0,342.82,91.22,93.03,0.0435,0.0,140.18,99.67,5,139.71,low,balanced
50.53,95.67,0,5,0.0,0.1,23,1,0,269.15,99.76,88.57,0.04,0.0,217.82,97.34,4,212.03,low,balanced
11.79,67.89,15,16,1.3636,1.4545,11,6,11,1176.68,61.36,34.56,0.3333,0.4783,60.78,39.94,0,24.28,high,attention_issue
38.98,84.13,8,5,0.2105,0.1316,16,3,7,480.62,69.52,50.59,0.15,0.2917,136.16,77.52,2,105.55,medium,balanced
12.37,67.77,15,18,1.25,1.5,8,9,6,938.6,31.57,28.66,0.5,0.4,84.99,48.98,3,41.63,high,attention_issue
60.13,88.81,0,5,0.0,0.0833,19,2,2,341.33,91.77,97.43,0.0909,0.0909,207.71,93.14,4,193.46,low,balanced
24.56,56.79,12,9,0.5,0.375,9,8,9,711.81,62.08,32.02,0.4444,0.4737,86.04,55.61,0,47.84,high,attention_issue
17.68,47.1,11,10,0.6471,0.5882,14,6,9,802.2,39.35,45.43,0.2857,0.375,97.12,38.82,1,37.7,high,attention_issue
27.27,84.23,6,6,0.2222,0.2222,15,1,5,579.22,70.21,62.72,0.0588,0.2381,106.78,69.6,2,74.32,medium,balanced
67.21,89.44,4,6,0.0597,0.0896,22,0,3,314.8,90.24,87.0,0.0,0.1154,193.94,83.86,4,162.64,low,balanced
20.03,41.05,7,18,0.35,0.9,5,8,12,673.13,37.19,35.81,0.5714,0.6667,77.53,43.69,2,33.87,high,attention_issue
24.95,70.4,4,6,0.1667,0.25,12,4,4,553.27,83.26,55.23,0.2353,0.2353,110.22,72.8,3,80.25,medium,typing_issue
61.09,91.03,2,2,0.0328,0.0328,21,2,2,391.56,88.65,85.44,0.0833,0.0833,206.93,84.41,4,174.67,low,balanced
20.12,43.6,7,18,0.35,0.9,10,6,10,1161.53,61.29,30.85,0.3529,0.4762,64.57,20.53,3,13.26,high,attention_issue
19.56,64.81,14,14,0.7368,0.7368,8,10,7,1138.91,58.9,23.69,0.5263,0.4375,65.8,38.45,1,25.3,high,attention_issue
24.35,72.16,8,6,0.3333,0.25,17,5,6,536.48,80.86,65.66,0.2174,0.25,113.27,76.55,2,86.71,medium,typing_issue
50.97,95.45,1,3,0.02,0.06,23,2,0,361.55,97.34,82.28,0.0769,0.0,170.93,97.68,4,166.97,low,balanced
55.19,91.8,0,5,0.0,0.0909,18,2,3,419.18,91.33,91.47,0.0952,0.1364,178.66,97.68,5,174.52,low,balanced
43.1,92.3,3,5,0.0698,0.1163,22,0,3,337.06,90.28,98.81,0.0,0.1154,140.69,87.88,5,123.64,low,balanced
23.07,51.63,14,12,0.6087,0.5217,8,4,11,857.17,38.12,47.92,0.3077,0.55,83.88,47.49,0,39.83,high,attention_issue
66.33,96.76,1,2,0.0152,0.0303,25,1,2,313.57,89.23,86.68,0.037,0.0714,189.9,94.62,5,179.69,low,balanced
31.52,83.41,4,3,0.129,0.0968,13,2,4,654.15,61.63,45.15,0.125,0.2222,133.16,65.9,4,87.75,medium,attention_issue
54.65,98.04,3,6,0.0556,0.1111,24,2,0,432.55,93.01,78.97,0.0741,0.0,148.73,88.23,4,131.23,low,balanced
19.28,42.31,7,6,0.3684,0.3158,7,6,7,799.2,40.48,16.8,0.4286,0.4667,81.38,37.49,0,30.51,high,attention_issue
9.54,43.05,11,14,1.1,1.4,11,4,6,1104.51,54.7,38.96,0.25,0.3333,79.36,25.86,1,20.53,high,attention_issue
22.02,86.48,7,5,0.3182,0.2273,17,1,6,688.44,71.46,46.47,0.0526,0.25,108.84,75.15,2,81.8,medium,attention_issue
39.38,85.98,7,8,0.1795,0.2051,16,3,7,459.04,72.85,45.05,0.15,0.2917,104.06,58.62,2,61.0,medium,attention_issue
34.94,72.93,7,8,0.2059,0.2353,18,2,7,447.0,76.78,68.26,0.0952,0.2692,143.11,71.55,2,102.4,medium,typing_issue
60.06,95.17,1,2,0.0167,0.0333,22,0,2,313.66,89.56,90.91,0.0,0.08,147.63,89.3,4,131.84,low,balanced
24.25,45.72,15,14,0.625,0.5833,5,6,12,851.93,39.82,35.05,0.5,0.6667,88.11,49.61,1,43.71,high,attention_issue
28.86,73.02,8,6,0.2857,0.2143,14,5,7,563.97,78.8,71.61,0.25,0.3182,105.22,77.85,2,81.92,medium,typing_issue
67.96,94.66,3,5,0.0448,0.0746,19,0,2,410.6,86.47,83.3,0.0,0.0909,167.89,83.0,5,139.35,low,balanced
36.61,73.82,8,5,0.2222,0.1389,14,2,3,580.85,61.75,74.4,0.1176,0.1667,104.59,55.83,2,58.4,medium,reading_issue
29.59,77.63,5,7,0.1724,0.2414,20,4,3,568.45,77.08,53.61,0.16,0.125,129.42,76.79,3,99.37,medium,balanced
23.12,74.29,8,7,0.3478,0.3043,19,5,7,462.54,71.06,59.05,0.2,0.2593,143.3,63.04,2,90.33,medium,typing_issue
38.7,82.52,8,8,0.2105,0.2105,19,1,5,739.83,68.39,68.58,0.0476,0.2,122.56,77.3,3,94.75,medium,balanced
23.15,54.65,15,16,0.6522,0.6957,7,8,8,747.82,64.02,16.85,0.5,0.5,101.38,25.54,0,25.89,high,attention_issue
48.21,89.94,3,5,0.0625,0.1042,19,0,2,323.54,87.66,99.15,0.0,0.0909,170.08,81.64,5,138.85,low,balanced
23.49,47.01,9,7,0.3913,0.3043,13,4,11,798.02,41.08,34.17,0.2222,0.44,63.8,41.29,2,26.34,high,attention_issue
48.14,92.46,2,3,0.0417,0.0625,22,2,1,351.58,98.19,75.58,0.08,0.0417,157.28,96.99,4,152.55,low,balanced
49.3,93.99,2,4,0.0408,0.0816,18,1,0,317.51,91.17,91.69,0.05,0.0,145.75,83.25,5,121.34,low,balanced
46.76,90.76,0,0,0.0,0.0,20,2,2,380.21,85.49,86.1,0.087,0.087,175.93,95.84,4,168.62,low,balanced
64.01,93.55,4,3,0.0625,0.0469,23,0,2,428.67,87.17,81.69,0.0,0.0769,150.42,81.91,4,123.21,low,balanced
27.02,75.36,3,3,0.1111,0.1111,15,5,4,735.67,68.32,67.08,0.2381,0.2,125.49,65.32,3,81.97,medium,balanced
28.09,77.04,3,8,0.1071,0.2857,13,2,6,435.16,70.23,54.93,0.125,0.3,129.63,73.17,4,94.85,medium,balanced
51.01,92.36,4,1,0.0784,0.0196,21,1,2,441.5,93.01,96.0,0.0435,0.0833,190.64,85.93,4,163.82,low,balanced
68.5,93.24,1,1,0.0147,0.0147,22,1,2,318.05,85.06,78.65,0.0417,0.08,206.8,83.68,4,173.05,low,balanced
53.3,94.88,0,6,0.0,0.1132,24,2,1,291.76,88.21,81.98,0.0741,0.0385,194.59,80.98,4,157.58,low,balanced
28.27,85.09,7,5,0.25,0.1786,12,5,6,703.25,81.42,63.14,0.2778,0.3158,106.53,77.64,4,82.71,medium,balanced
45.22,94.29,4,4,0.0889,0.0889,18,0,1,284.8,98.37,91.32,0.0,0.05,212.99,81.15,4,172.83,low,balanced
22.58,47.86,7,13,0.3182,0.5909,8,7,7,1048.99,64.19,26.91,0.4375,0.4375,64.68,30.94,1,20.01,high,attention_issue
41.41,90.74,3,1,0.0732,0.0244,25,2,2,407.75,93.75,82.01,0.0714,0.0714,152.19,94.17,5,143.31,low,balanced
48.04,93.32,3,1,0.0625,0.0208,21,1,2,442.41,93.08,78.7,0.0435,0.0833,148.12,87.89,5,130.18,low,balanced
35.82,81.15,5,8,0.1429,0.2286,20,4,4,678.16,62.18,59.87,0.16,0.16,144.79,70.07,3,101.46,medium,balanced
65.7,89.8,1,5,0.0154,0.0769,25,1,3,459.87,88.93,90.43,0.037,0.1034,188.81,84.08,4,158.76,low,balanced
12.49,44.24,8,15,0.6667,1.25,9,10,8,930.72,30.77,28.88,0.5,0.4444,99.17,29.7,3,29.45,high,attention_issue
28.9,86.75,4,7,0.1429,0.25,16,5,6,722.76,80.13,71.43,0.2273,0.2609,123.28,73.36,2,90.44,medium,balanced
14.65,40.55,10,6,0.7143,0.4286,6,9,11,1149.9,53.93,26.11,0.5625,0.6111,81.6,33.97,3,27.72,high,attention_issue
39.78,77.31,3,3,0.0769,0.0769,15,4,6,640.86,71.16,68.07,0.2,0.2727,147.79,74.62,4,110.28,medium,balanced
10.91,60.94,7,13,0.7,1.3,6,7,7,1032.57,53.14,39.23,0.5,0.5,66.09,59.79,1,39.52,high,attention_issue
22.35,78.18,7,4,0.3182,0.1818,12,5,5,667.11,63.99,69.15,0.2778,0.2778,129.02,63.25,2,81.61,medium,balanced
22.49,74.69,7,6,0.3182,0.2727,18,1,4,507.42,64.08,46.49,0.05,0.1739,101.48,72.57,4,73.64,medium,attention_issue
11.24,69.59,9,17,0.8182,1.5455,7,10,11,1160.89,33.7,16.81,0.5556,0.5789,73.44,50.09,2,36.78,high,attention_issue
44.35,95.23,1,4,0.0227,0.0909,20,2,3,475.96,95.21,82.24,0.087,0.125,149.11,93.69,5,139.7,low,balanced
23.98,55.23,7,12,0.3043,0.5217,8,7,8,1048.07,31.06,37.1,0.4375,0.4706,63.73,52.68,0,33.57,high,attention_issue
11.11,47.56,11,6,1.0,0.5455,5,10,9,1188.39,50.51,28.51,0.625,0.6,72.94,43.73,3,31.89,high,attention_issue
17.5,55.2,10,14,0.5882,0.8235,7,9,7,1162.53,53.28,20.1,0.5294,0.4667,84.85,50.54,2,42.88,high,attention_issue
20.74,66.43,10,13,0.5,0.65,6,6,8,943.51,42.46,28.4,0.4615,0.5333,94.92,53.04,3,50.34,high,attention_issue
69.74,89.42,4,6,0.058,0.087,19,0,2,374.17,91.85,92.71,0.0,0.0909,216.76,80.82,4,175.19,low,balanced
